代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
1920,施羅德環球日本股票基金A1,穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,無,17.96,0.28,0.83,-0.75,-12.8,"70,206百萬(日圓)",2001/8/31,7.91,9.36,10.27,9.08,18.97,26.97,39.17,70.09
1921,施羅德環球香港股票基金A1,穩健型,港幣,香港,國外,股票型,股票型,國外-股票型,無,30.09,0.31,0.88,-0.63,-2.63,"7,074百萬(港幣)",2002/8/9,6.1,9.53,13.22,18.54,33.94,12.37,6.63,-5.44
1923,施羅德環球歐元債券基金A1,保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,無,4.79,0.04,0.45,0.06,0.01,659百萬(歐元),2001/10/24,0.67,1.55,0.67,1.13,1.74,8.73,-1.42,-15.06
1924,施羅德環球亞洲債券-美元配現A1(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,亞洲,國外,債券型,債券型,國外-債券型,月配,2.38,0.45,0.35,0.25,0.01,151百萬(美元),2003/1/3,1.23,2.81,3.28,3.68,4.99,10.5,14,9.9
1925,施羅德環球新興市場債券基金-美現A1(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,4.91,0.36,0.77,-0.03,0,965百萬(美元),2003/1/3,1.7,4.27,6.31,9.03,7.48,11.58,20.96,2.88
1929,施羅德環球新興亞洲A1,積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,19.84,0.25,1.11,-0.78,-0.42,"4,914百萬(美元)",2004/1/9,5.43,9.01,12.7,17.95,18.31,25.89,19.25,19.27
1931,施羅德環球新興歐洲A1,積極型,歐元,新興歐洲,國外,股票型,股票型,國外-股票型,無,20.13,0.37,0.68,-0.12,-0.03,893百萬(歐元),2003/7/14,8.66,12.48,15.42,27.31,28.73,59.74,128.3,-5.43
1933,施羅德環球歐元企業債券基金A1,保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,無,3.44,0.3,0.3,0.05,0.01,"15,707百萬(歐元)",2003/2/17,0.81,2.36,1.78,2.66,4.85,14.52,11.09,0.39
1934,施羅德環球新興市場債基金(歐元對沖)A1,穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,無,4.84,0.24,0.75,-0.06,-0.01,965百萬(美元),2004/3/5,1.43,3.53,5.03,7.48,5.19,7.23,13.02,-6.45
1935,施羅德環球新興市場債配現(歐元對沖)A1(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,月配,4.84,0.23,0.76,-0.05,0,965百萬(美元),2004/4/16,1.42,3.51,5.03,7.47,5.16,7.15,12.99,-6.48
1940,施羅德環球拉丁美洲A1,積極型,美元,拉丁美洲,國外,股票型,股票型,國外-股票型,無,20.66,0.08,0.94,-1.26,-0.55,468百萬(美元),2002/5/31,2.67,0.53,10.24,24.78,5.18,1.07,14.5,42.09
1942,施羅德環球歐洲價值股票A1,穩健型,歐元,歐洲,國外,股票型,價值型,國外-股票型,無,20.32,0.28,1.11,0.5,0.46,451百萬(歐元),2003/1/31,1.86,6.38,8.38,18.29,20.45,25.05,38.55,104.38
1943,施羅德環球瑞士股票A1,穩健型,瑞郎,瑞士,國外,股票型,股票型,國外-股票型,無,19.02,0.03,1.05,0.2,0.1,163百萬(瑞郎),2001/8/31,0.54,0.25,-3.9,6.81,1.71,9.34,9.01,18.97
1944,施羅德環球瑞士中小型股票A1,穩健型,瑞郎,瑞士,國外,中小型股,中小型股,國外-中小型股,無,20.16,0.13,0.98,-0.11,-0.06,132百萬(瑞郎),2002/6/28,1.78,5.38,4.65,12.94,8.45,9.25,7.39,14.56
1946,施羅德環球歐元政府債券A1,保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,無,5.66,-0.02,0.51,0.06,0.01,620百萬(歐元),2002/5/31,0.62,1,-0.04,0.26,0.73,6.54,-4.39,-17.7
1947,施羅德環球歐元短期債券A1,保守型,歐元,歐洲,國外,短期債券,短期債券,國外-短期債券,無,0.96,0.58,-0.86,0.02,0,437百萬(歐元),2001/10/24,0.2,0.85,1.44,1.77,3.19,8.19,5.4,0.26
1949,施羅德環球歐洲小型公司美元A1,積極型,美元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,21.15,0.31,1.11,-0.35,-0.16,60百萬(歐元),2006/4/24,-0.24,6.54,12.64,21.38,24.26,17.03,20.9,13.67
1950,施羅德環球日本小型公司歐元A1,穩健型,歐元,日本,國外,中小型股,中小型股,國外-中小型股,無,14.94,0.32,0.59,-0.04,0,"9,981百萬(日圓)",2006/4/24,7.06,9.47,7.95,10.09,18.1,9.92,3.79,3.48
1951,施羅德環球新興歐洲美元A1,積極型,美元,新興歐洲,國外,股票型,股票型,國外-股票型,無,20.09,0.46,0.69,-0.45,-0.14,893百萬(歐元),2006/4/24,8.43,16.86,28.32,42.85,36.22,70.82,159.17,-6.68
1952,施羅德環球亞洲債券歐元A1,穩健型,歐元,亞洲,國外,債券型,債券型,國外-債券型,無,8.46,-0.06,-0.81,0.58,0.08,151百萬(美元),2006/4/24,1.44,-1.04,-7.1,-7.6,-0.78,3.34,0.43,11.37
1953,施羅德環球亞洲債券歐元配現A1(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,亞洲,國外,債券型,債券型,國外-債券型,月配,8.46,-0.06,-0.81,0.58,0.02,151百萬(美元),2006/4/24,1.44,-1.04,-7.1,-7.6,-0.78,3.33,0.42,11.38
1957,施羅德環球環球計量精選價值A1,穩健型,美元,全球,國外,股票型,價值型,國外-股票型,無,14.09,0.38,0.92,-0.22,-0.69,727百萬(美元),2004/10/29,4.34,10.59,13.56,19.28,20.69,35.67,41.64,73.87
1958,施羅德環球美國中小型股票A1,穩健型,美元,美國,國外,中小型股,中小型股,國外-中小型股,無,17.9,0,0.8,1.38,5.65,786百萬(美元),2004/12/10,0.66,2.29,-6.47,-5.38,-0.49,8.56,8.5,35.1
1959,施羅德環球新興市場歐元A1,積極型,歐元,新興市場,國外,股票型,股票型,國外-股票型,無,20.34,0.17,0.92,-0.45,-0.07,"5,736百萬(美元)",2006/3/17,6.04,6.41,3.19,6.83,12.28,23.45,14.51,19.71
1960,施羅德環球新興亞洲歐元A1,積極型,歐元,新興亞洲,國外,股票型,股票型,國外-股票型,無,21.18,0.16,1.07,-0.45,-0.21,"4,914百萬(美元)",2006/3/17,5.65,4.93,1.37,5.11,11.81,17.73,5.04,20.87
1961,施羅德環球拉丁美洲歐元A1,積極型,歐元,拉丁美洲,國外,股票型,股票型,國外-股票型,無,21.88,0,0.86,-0.94,-0.35,468百萬(美元),2006/3/22,2.88,-3.24,-0.84,11.2,-0.6,-5.49,0.86,44
1963,施羅德環球能源A1,積極型,美元,全球,國外,能源,能源,國外-能源,無,18.25,-0.02,0.73,0.05,0.01,323百萬(美元),2006/6/30,-1.66,7.49,3.86,8.15,-1.27,4.69,27.82,162.49
1966,施羅德環球企業債券A1-累積,保守型,美元,全球,國外,債券型,債券型,國外-債券型,無,4.97,0.16,0.89,0.13,0.02,"2,234百萬(美元)",2001/8/31,1.55,3.26,3.01,4,3.98,14.14,10.83,-1.15
1967,施羅德環球企業債券A1-配現(本基金之配息來源可能為本金),保守型,美元,全球,國外,債券型,債券型,國外-債券型,月配,4.97,0.16,0.89,0.13,0.01,"2,234百萬(美元)",2009/1/19,1.55,3.26,3.01,3.99,3.97,14.13,10.82,-1.15
1968,施羅德環球新興市場優勢A1-累積,積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,無,18.49,0.29,0.91,-0.58,-0.13,"2,020百萬(美元)",2007/1/19,7.07,12.53,16.8,20.39,19.74,29.72,35.18,27.71
1969,施羅德環球氣候變化策略A1-累積,穩健型,美元,全球,國外,環境生態,環境生態,國外-環境生態,無,17.04,0.23,1.34,-0.4,-0.1,"2,353百萬(美元)",2007/6/29,3.67,8.3,9.85,13.46,14.08,19.06,18.34,33.84
1970,施羅德環球新興三國A1-累積,積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,無,20.11,0.24,0.99,-0.62,-1.46,478百萬(美元),2005/10/31,4.68,3.86,8.89,13.49,17.29,18.1,12.07,-11.31
1971,施羅德環球新興市債(澳幣對沖)A1月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,債券型,國外-債券型,月配,4.91,0.31,0.77,-0.03,-0.02,965百萬(美元),2010/4/16,1.6,4.01,5.91,8.57,6.62,9.04,16.35,-2.34
1972,施羅德環球非投資等級債券基金A1美元累積(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,6.08,0.36,1.13,0.09,0.05,"1,655百萬(美元)",2004/4/16,1.23,4.26,4.18,5.3,9.09,20.68,23.13,23.6
1973,施羅德環球非投資等級債券基金A1美月配現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,6.08,0.36,1.13,0.09,0.02,"1,655百萬(美元)",2009/3/27,1.23,4.26,4.19,5.3,9.09,20.68,23.13,23.6
1974,施羅德環球非投資等級債券基金A1歐對沖累(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,歐元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,6.04,0.27,1.12,0.07,0.15,"1,655百萬(美元)",2004/11/30,0.99,3.58,3.06,3.95,6.99,16.35,15.6,13.24
1975,施羅德環球非投資等級債券基金A1澳月配現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,6.18,0.32,1.15,0.09,0.07,"1,655百萬(美元)",2010/9/1,1.17,4.11,3.74,4.83,8.24,18.25,18.95,17.98
1976,施羅德環球香港股票基金A1-美元,穩健型,美元,香港,國外,股票型,股票型,國外-股票型,無,30.24,0.3,0.88,-0.49,-0.26,"7,074百萬(港幣)",2010/11/17,6.25,9.05,12.41,17.43,33.12,12.09,6.61,-6.51
1977,施羅德亞洲收益股票基金A1-累積,積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,18.7,0.27,1.06,-0.57,-0.24,896百萬(美元),2004/6/11,4.55,10.45,15.51,18.31,18.69,39.14,38.78,51.53
1978,施羅德亞洲收益股票基金A1-月配現(本基金之配息來源可能為本金),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,月配,18.71,0.27,1.06,-0.57,-0.12,896百萬(美元),2004/6/11,4.54,10.44,15.5,18.3,18.68,39.12,38.78,51.51
1979,施羅德環球企業債券A1-澳幣對沖月配現(本基金之配息來源可能為本金),保守型,澳幣,全球,國外,債券型,債券型,國外-債券型,月配,4.99,0.13,0.89,0.13,0.14,"2,234百萬(美元)",2010/8/25,1.49,3.11,2.73,3.67,3.34,11.96,7.04,-5.26
1980,施羅德環球收益股票基金A1-美元累積,穩健型,美元,全球,國外,股票型,股票型,國外-股票型,無,16.42,0.28,0.82,0.41,1.06,211百萬(美元),2005/7/29,2.28,7.56,10.91,17.28,17.06,23.98,36.61,77.16
1981,施羅德環球收益股票基金A1-美元月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,月配,16.42,0.28,0.82,0.41,0.55,211百萬(美元),2005/7/29,2.28,7.55,10.9,17.27,17.04,23.95,36.59,77.1
1982,施羅德環球收益股票基金A1-歐元累積,穩健型,歐元,全球,國外,股票型,股票型,國外-股票型,無,16.92,0.18,0.93,0.74,1.64,211百萬(美元),2006/3/17,2.49,3.53,-0.24,4.52,10.62,15.94,20.34,79.54
1983,施羅德中國優勢基金A1-累積,積極型,美元,中國,國外,股票型,股票型,國外-股票型,無,35.09,0.3,1.04,-1.08,-4.06,995百萬(美元),2006/2/17,7.26,8.6,9.52,20.88,38.09,13.26,0.37,-18.31
1986,施羅德日本股票(歐元對沖)A1,積極型,歐元,日本,國外,股票型,股票型,國外-股票型,無,18,0.31,0.83,-0.74,-1.26,"70,206百萬(日圓)",2005/12/16,8.01,9.72,10.88,9.98,21.21,33.31,48.05,76.28
1987,施羅德日本股票(美元對沖)A1,積極型,美元,日本,國外,股票型,股票型,國外-股票型,無,17.98,0.35,0.83,-0.71,-2,"70,206百萬(日圓)",2013/4/17,8.29,10.44,12.12,11.51,23.51,37.89,57.35,92.68
1990,施羅德環球可轉換債券A1-美元累積(本基金主要係投資於非投資等級之高風險債券),穩健型,美元,全球,國外,可轉換債券,可轉換債券,國外-可轉換債券,無,11.18,0.36,0.19,0.42,0.75,"1,092百萬(美元)",2008/3/14,1.68,5,5.15,9.63,15.45,18.23,14.48,6.59
1991,施羅德環球可轉換債券A1-歐元對沖(本基金主要係投資於非投資等級之高風險債券),穩健型,歐元,全球,國外,可轉換債券,可轉換債券,國外-可轉換債券,無,11.17,0.3,0.19,0.41,0.58,"1,092百萬(美元)",2008/3/28,1.44,4.31,3.97,8.14,13.08,13.73,7.07,-2.99
1992,施羅德亞洲可轉換債券A1-美元(本基金主要係投資於非投資等級之高風險債券),穩健型,美元,亞洲,國外,可轉換債券,可轉換債券,國外-可轉換債券,無,17.75,0.4,0.64,0.1,0.19,65百萬(美元),2008/3/14,3.84,11.04,15.4,21.45,27.13,32.38,39.81,34.97
1993,施羅德亞洲可轉換債券A1-歐元對沖(本基金主要係投資於非投資等級之高風險債券),穩健型,歐元,亞洲,國外,可轉換債券,可轉換債券,國外-可轉換債券,無,17.77,0.36,0.62,0.08,0.12,65百萬(美元),2008/3/28,3.58,10.26,13.92,19.59,24.33,27.21,30.98,23.21
1994,施羅德亞洲高息股債基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益),穩健型,美元,亞洲,國外,平衡型,平衡型,國外-平衡型,無,10.67,0.25,0.59,-0.07,-0.01,"14,428百萬(港幣)",2011/6/27,2.79,7.83,7.52,8.73,10.53,24.08,18.5,18.16
1995,"施羅德亞洲高息股債基金A-美元配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,美元,亞洲,國外,平衡型,平衡型,國外-平衡型,月配,10.67,0.25,0.59,-0.07,-0.01,"14,428百萬(港幣)",2011/6/27,2.79,7.83,7.52,8.73,10.53,24.06,18.5,18.14
1996,"施羅德亞洲高息股債基金A-澳幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,澳幣,亞洲,國外,平衡型,平衡型,國外-平衡型,月配,10.88,0.22,0.6,-0.07,-0.01,"14,428百萬(港幣)",2012/10/31,2.74,7.65,6.82,7.98,9.36,20.85,13.32,11.43
1997,施羅德環球股債收息基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,7.07,0.36,0.43,0,0.01,886百萬(美元),2012/4/18,2.15,5.35,6.06,9.06,10.27,21.56,24.11,25.12
1998,"施羅德環球股債收息基金A-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,7.08,0.36,0.43,0,0,886百萬(美元),2012/4/18,2.15,5.36,6.06,9.06,10.26,21.55,24.09,25.08
1999,施羅德環球股債收息基金A-歐元對沖累積(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益),穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,無,7.04,0.27,0.43,-0.01,-0.02,886百萬(美元),2012/4/18,1.89,4.64,4.85,7.56,7.98,16.92,16.06,13.9
19A1,"施羅德環球股債收息基金A-歐元對沖季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,季配,7.05,0.27,0.43,-0.01,-0.01,886百萬(美元),2012/4/18,1.89,4.66,4.87,7.58,7.95,16.88,16.03,13.88
19A2,"施羅德環球股債收息基金A-澳幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,7.17,0.32,0.44,0,0,886百萬(美元),2013/4/17,2.05,5.13,5.49,8.41,9.23,18.72,19.15,18.16
19A3,施羅德亞洲優勢基金A-美元累積,積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,21.15,0.26,1.17,-0.44,-0.12,"5,486百萬(美元)",2000/1/17,5.97,10.65,13.65,16.09,20.13,26.16,23.9,19.03
19A4,施羅德環球股息基金A-美元累積(本基金並無保證收益及配息),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,無,15.22,0.3,0.76,0.39,0.07,888百萬(美元),2007/7/13,2.09,7.2,10.88,17.11,17.06,23.65,37.5,72.88
19A5,施羅德環球股息基金A-歐元對沖累積(本基金並無保證收益及配息),穩健型,歐元,全球,國外,股票型,股票型,國外-股票型,無,15.22,0.25,0.76,0.37,0.06,888百萬(美元),2013/1/23,1.78,6.39,9.4,15.17,14.25,18.3,26.95,54.36
19A6,施羅德環球股息基金AX-美元月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,月配,15.22,0.3,0.76,0.4,0.02,888百萬(美元),2014/4/2,2.08,7.19,10.86,17.09,17.03,23.6,37.47,72.76
19A7,施羅德環球股息基金A-澳幣月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,全球,國外,股票型,股票型,國外-股票型,月配,15.53,0.26,0.78,0.39,0.03,888百萬(美元),2014/4/16,1.93,6.85,9.67,15.65,15.08,19.3,29.15,58.12
19A8,施羅德日本優勢基金A1-累積,積極型,日圓,日本,國外,股票型,股票型,國外-股票型,無,16.17,0.32,0.75,-0.6,-19.43,"48,998百萬(日圓)",2006/12/1,7.16,12.89,13.1,10.26,19.61,34.09,61.66,103.75
19A9,施羅德日本優勢基金A1-美元對沖累積,積極型,美元,日本,國外,股票型,股票型,國外-股票型,無,16.17,0.39,0.75,-0.56,-0.21,"48,998百萬(日圓)",2013/6/26,7.53,14.01,15.01,12.73,24.19,45.57,82.8,130.78
19B1,施羅德環球歐洲小型公司A-累積美元對沖,穩健型,美元,全球,國外,中小型股,中小型股,國外-中小型股,無,21.36,0.26,0.93,0,0,60百萬(歐元),2014/5/7,0.2,3.29,2.59,9.85,20.13,14.51,15.63,30.02
19B4,施羅德歐洲股息基金A類股份-累積歐元(本基金並無保證收益及配息),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,無,15.41,0.26,0.73,0.42,0.49,182百萬(歐元),2007/10/5,-0.15,1.38,3.46,10.74,14.94,18.72,23.67,28.3
19B5,施羅德歐洲股息基金美元對沖A類月配現美元(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,月配,15.36,0.3,0.73,0.44,0.27,182百萬(歐元),2014/4/16,0.07,2,4.56,12.17,17.1,23.04,32,40.52
19B6,施羅德亞洲股息基金A-美元累積(本基金並無保證收益及配息),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,14.65,0.3,0.83,-0.48,-0.84,182百萬(美元),2013/9/18,2.67,9.67,14.41,17.47,16.51,31.49,31.74,42.05
19B7,施羅德亞洲股息基金A-美元月配現(本基金並無保證收益及配息且配息來源可能為本金),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,月配,14.66,0.3,0.83,-0.48,-0.37,182百萬(美元),2013/9/18,2.67,9.66,14.4,17.45,16.49,31.46,31.73,42
19B8,施羅德亞洲股息基金A-澳幣對沖月配現(本基金並無保證收益及配息且配息來源可能為本金),積極型,澳幣,亞洲,國外,股票型,股票型,國外-股票型,月配,14.94,0.26,0.84,-0.49,-0.36,182百萬(美元),2014/11/19,2.55,9.32,13.06,15.91,14.36,26.42,23.24,29.57
19B9,施羅德新興市場股債收息基金A類-累積美元(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益),穩健型,美元,新興市場,國外,平衡型,平衡型,國外-平衡型,無,15.33,0.28,0.74,-0.32,-0.42,88百萬(美元),2015/4/8,4.2,9.16,11.3,16.65,16.33,24.97,30.74,21.07
19C1,"施羅德新興市場股債收息基金AX月配現美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,美元,新興市場,國外,平衡型,平衡型,國外-平衡型,月配,15.34,0.28,0.74,-0.32,-0.22,88百萬(美元),2016/11/16,4.2,9.16,11.3,16.64,16.32,24.93,30.72,21.01
19C2,施羅德環球新興市場收息債券基金美累A(本基金主要係投資於非投資等級之高風險債券),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,無,6.53,0.39,0.87,0.08,0.11,"2,255百萬(美元)",2012/7/11,2.57,6.06,7.05,9.46,10.28,22.84,31.42,12.26
19C3,施羅德環球新興市場收息債券基金美月現A(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,6.53,0.39,0.87,0.08,0.07,"2,255百萬(美元)",2018/2/14,2.57,6.06,7.05,9.46,10.28,22.82,31.41,12.23
19C4,施羅德環球黃金基金美累A,積極型,美元,全球,國外,貴重金屬,貴重金屬,國外-貴重金屬,無,34.93,0.48,0.98,-0.93,-2.33,985百萬(美元),2016/6/29,9.48,25.6,40.33,78.76,70.42,129.22,163.58,55.06
19C5,施羅德環球黃金基金歐對沖累A,積極型,歐元,全球,國外,貴重金屬,貴重金屬,國外-貴重金屬,無,34.71,0.46,0.97,-0.96,-1.85,985百萬(美元),2016/6/29,9.07,24.53,37.95,75.24,65.6,117.25,139,35.44
19C6,施羅德環球收息債券基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券),保守型,美元,全球,國外,債券型,債券型,國外-債券型,無,4.13,0.41,0.7,0.08,0.11,"5,786百萬(美元)",2017/12/15,1.44,3.71,4.89,6.06,7.17,19.38,20.03,12.75
19C7,施羅德環球收息債券基金A-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,美元,全球,國外,債券型,債券型,國外-債券型,月配,4.13,0.4,0.7,0.08,0.07,"5,786百萬(美元)",2016/11/30,1.44,3.72,4.9,6.07,7.17,19.37,20.03,12.75
19C8,施羅德環球收息債券基金A-澳幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,澳幣,全球,國外,債券型,債券型,國外-債券型,月配,4.13,0.36,0.7,0.08,0.1,"5,786百萬(美元)",2016/11/30,1.38,3.56,4.64,5.77,6.55,17.14,16.14,8.08
19C9,"施羅德新興市場股債收息基金AX澳幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,澳幣,新興市場,國外,平衡型,平衡型,國外-平衡型,月配,15.54,0.25,0.75,-0.33,-0.22,88百萬(美元),2017/8/2,4.1,8.86,10.36,15.53,14.69,21.04,23.62,11.49
19D0,"施羅德新興市場股債收息基金A南非幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,南非幣,新興市場,國外,平衡型,平衡型,國外-平衡型,月配,15.47,0.32,0.75,-0.3,-3.08,88百萬(美元),2018/10/17,4.37,9.68,12.12,17.87,18.54,30.12,38.91,37.26
19D1,施羅德環球收息債券基金A-南非幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,南非幣,全球,國外,債券型,債券型,國外-債券型,月配,4.18,0.59,0.7,0.1,1.38,"5,786百萬(美元)",2018/10/17,1.67,4.42,6.23,7.86,10.15,26.15,30.51,34.06
19D2,施羅德新興市場收息債券基金A澳幣避月現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,債券型,國外-債券型,月配,6.58,0.35,0.87,0.08,0.09,"2,255百萬(美元)",2018/10/24,2.49,5.85,6.61,8.98,9.42,20.19,26.55,6.59
19D3,施羅德新興市場收息債券基金A南非幣避月現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,新興市場,國外,債券型,債券型,國外-債券型,月配,6.58,0.5,0.87,0.11,1.2,"2,255百萬(美元)",2018/10/24,2.81,6.73,8.34,11.22,13.18,29.49,42.35,31.7
19D4,施羅德環球收益成長基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,10.77,0.43,0.69,0.01,0.03,902百萬(美元),2015/3/11,2.52,7.51,8.82,13.45,17.94,29.33,35.66,38.32
19D5,施羅德環球收益成長基金A-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,10.78,0.43,0.69,0.01,0.01,902百萬(美元),2018/11/14,2.52,7.51,8.81,13.44,17.89,29.25,35.58,38.2
19D6,施羅德環球收益成長基金A-澳幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,11.01,0.38,0.7,0.01,0.01,902百萬(美元),2018/11/14,2.42,7.25,7.92,12.43,16.44,25.56,28.96,28.3
19D7,施羅德環球收益成長基金A-南幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,10.93,0.48,0.7,0.04,0.71,902百萬(美元),2018/10/24,2.72,8.15,9.83,14.88,20.57,35.35,45.53,59.32
19D8,施羅德環球多元收益基金A-美元累積(本基金之配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,6.51,0.45,0.42,-0.01,-0.02,404百萬(美元),2016/12/7,2.26,5.78,4.9,7.66,11.66,24.66,28.72,31.26
19D9,施羅德環球多元收益基金A-美元月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,6.51,0.45,0.42,-0.01,-0.01,404百萬(美元),2018/2/14,2.26,5.78,4.9,7.66,11.66,24.65,28.71,31.25
19,施羅德環球多元收益基金A-澳幣避月現(本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,6.59,0.4,0.42,-0.01,-0.02,404百萬(美元),2018/6/6,2.18,5.58,4.35,7.05,10.71,21.94,24.24,25.27
190,施羅德環球多元收益基金A-南幣避月現(本基金之配息來源可能為本金),穩健型,南非幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,6.57,0.56,0.42,0.01,0.18,404百萬(美元),2018/10/17,2.48,6.44,6.09,9.31,14.59,31.49,40.06,55.75
19000000,施羅德環球非投資等級債券基金A美元累積(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,6.08,0.39,1.13,0.09,0.06,"1,655百萬(美元)",2004/4/16,1.27,4.38,4.42,5.6,9.57,21.76,24.8,26.42
190000000,施羅德環球非投資等級債券基金A美月配現固(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,6.08,0.39,1.13,0.09,0.01,"1,655百萬(美元)",2018/10/30,1.28,4.43,4.51,5.71,9.77,22.2,25.47,27.53
