標題,連結,內文,來源,時間
熱帶低壓逼近！9縣市恐遭豪雨襲擊屏東縣山區警戒中| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9YaTc5UGgyVF9fajM1MThITGxNVUpNcXYyNDZ0Ukl4UkVUeEJhTDdBMU1HZDJFMVFJc1BoOVNvMmEtR2twTTNOSy1GMjRobVZzMjBqSjlEbFU2UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"氣象署今（22）日發布警訊，熱帶性低氣1000百帕位於台北西方約184公里海面，向西南移動。屏東縣山區恐現局部豪雨或大豪雨，台南市、高雄市、屏東縣有局部大雨或豪雨機率。
熱帶性低氣壓22日8時位於北緯25.1度，東經119.7度，以時速10公里向西南移動。受其與低壓帶影響，今日台灣附近各海面可能出現8至10級強陣風，風浪偏大。
受熱帶性低氣壓及低壓帶影響，氣象署提醒，易有短延時強降雨，今屏東縣山區有局部豪雨或大豪雨，台南市、高雄市、屏東縣有局部大雨或豪雨，雲林、嘉義、澎湖、金門、馬祖有局部大雨發生的機率，請注意雷擊及強陣風，低窪地區請慎防淹水，山區請注意坍方、落石及溪水暴漲。
熱帶性低氣壓22日8時位於北緯25.1度，東經119.7度，以時速10公里向西南移動。   圖：氣象署／提供",Newtalk新聞,12 小時前
南部豪雨曾文水庫水位創「莫拉克」後新高調節放水將啟動| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5zVXpWX1RfdVpqQ1B1N0xqNUdWc0Q5TWdRbkJhMmNSYzNfQ01tR3d6aWxWdjhERFc4RUdKVnR1STdTWWItNkxBdkgxeUI0b25sN21COEpHVUhZdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"台南曾文水庫集水區近日降雨豐沛，水位急遽上升，22日早晨突破230.1公尺，創下莫拉克風災後14年來新高。水利署南區水資源分署已啟動調節性放水機制，呼籲下游民眾提高警覺。
受低氣壓影響，曾文水庫上游區域自前日清晨起累積降雨量已超過120毫米，預估帶來約4400萬立方公尺進水量。截至22日上午8時，水庫有效蓄水量達50739.00萬立方公尺，水位遠超227公尺滿水位。
為確保大壩安全，水利單位於22日清晨6時起加大放水量，總計每秒600立方公尺，包括發電放水每秒50立方公尺及防淤隧道每秒550立方公尺。南水分署表示，將全力調控水位於滿水位附近，以確保下半年供水無虞。
值得注意的是，2009年莫拉克風災前，曾文水庫蓄水率僅24%。當時颱風帶來的12億噸雨量使水位飆升至230.96公尺，遠超過227公尺滿水位，創下建庫以來最高紀錄。本次水位雖未超越當年高峰，但達230.1公尺，已是莫拉克風災後14年來最高水位。水利署持續密切監控水情變化，並透過多重管道發布放水訊息，籲請下游居民提高警覺，確保生命財產安全。",Newtalk新聞,10 小時前
日本能登半島破紀錄豪雨一人失蹤、數千戶停電| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5tbnZjRklXTXdOenFHV1FabmRrMjE1bmJIRzd1N1JFbjh6aWlEN0otVWdLRkhUWEJ3Y2E5OGtqbW1zVllxM2NaQnFsT08wMWVXbDRxci1KNDg5UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"根據《NHK》及《讀賣新聞》等報導，日本北陸地區，今(21)日受到秋雨鋒面和低氣壓影響，降下破紀錄的豪雨。氣象廳已對能登半島地震受災區的石川縣輪島市、珠洲市及能登町發布「大雨特別警報」。
截至上午 11 時，當地報告已出現1人失蹤，位於石川縣的珠洲市有兩個村落因洪水淹沒而成為孤島。輪島市中心部分地區也出現洪水和土石流，並有四條河川（河原田川、鵜飼川、若山川、紀之川）氾濫。根據日本氣象廳數據，輪島市截至上午 8 時 30 前的一小時內，已觀測到超過120毫米的猛烈強降雨。
此外，北陸電力公司報告，截至上午9時，輪島市、珠洲市及能登町共計約5460戶停電，其中輪島市約3100戶、珠洲市約1200戶、能登町約960戶。停電現象可能與大雨有關，工作人員正前往現場調查，恢復供電的時間尚未可知。
目前，救援單位正積極處理民宅倒塌及被洪水沖走的求助通報，日本政府也呼籲居民保持警覺，確保安全，並根據氣象預報隨時掌握天氣變化。
日本能登半島降下破紀錄的豪雨   圖：翻攝自X / iklim değişikliği haber",Newtalk新聞,昨天
「珊珊」颱風登陸日本！ 九州嚴防豪雨及土石流,https://news.google.com/read/CBMiZkFVX3lxTE1GU1FLRWR2c09Oc3RVRUdnQ1lKWHFnUnZ2OVVUdFIyYmVOeEZHY0pGOUJ3c3huNXNTamczZXd3QUp5SnNkRmhWX3FNaXlnb3RENWxWY3UtNjloRWFWSFRoU0RlaUtxUdIBa0FVX3lxTE83T1hibFR3eW9XRHpkSUVzWEd3Z3JldUI0Z09SdVRwVjZWcG55djcxWGhEb2l1RnBBX1NmSmhmNkRJdjhxcHlUQ0x3VHE1YkltaV9nQW45WlhPX2tNeEtoWXBEVXB5NENzSDRF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


珊珊颱風今早登陸九州鹿兒島縣。（圖擷取自日本氣象廳）
蔡百靈／核稿編輯
〔即時新聞／綜合報導〕今年第10號颱風「珊珊」襲日，先前在九州南方緩慢前進，持續逼近九州一帶。日本氣象廳表示，「珊珊」已於當地時間今日（29日）8點左右在鹿兒島縣薩摩川內市附近登陸。
根據日本《NHK》報導，受到「珊珊」颱風影響，為九州各地帶來強風豪雨，鹿兒島縣枕崎市在凌晨1點左右測得風速達每秒51.5公尺，達到蒲式風力級數的16級風；鹿兒島縣種子島也測得每秒42.1公尺，達14級風。此外，大分縣、宮崎縣及鹿兒島縣，以及太平洋沿岸各縣都降下豪大雨，當局呼籲嚴防土石流及河川溪水暴漲。
請繼續往下閱讀...

日本氣象廳觀測數據顯示，「珊珊」颱風中心位於鹿兒島縣薩摩川內市，以時速15公里朝北北東前進，中心氣壓955百帕，近中心最大風速為每秒40公尺。
珊珊颱風為大分縣、宮崎縣、鹿兒島縣及太平洋沿岸各縣帶來豪大雨。（圖擷取自日本氣象廳）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月29日
中國遼寧破紀錄暴雨 葫蘆島11死14失蹤,https://news.google.com/read/CBMiZkFVX3lxTE1ZcUJEWmk5SDhvaVNITE82M2lfZXZKdnE1SmFTbXF4VUkxTFFuT3FmR3NzdkNsd1BGbk5ka0pUVWtNZzZJbHF1ZWg1UndNZlVKZ2VEWTFMUEF1OHBLQ1lCNGxqOGcwUdIBa0FVX3lxTE9PcS1kdHFYYnNlSjA0d255S19UT2x6d1pzTUdqZjZHRnljYnV6T2dXNk9GNVBQcW1odGJIdVllbFhDYXFhZzBfbkxEOHowb1FjaG9nSWhaRmZPYkpyR0NLOGlaOHcxVVdGZ1JV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


中國遼寧省葫蘆島市上週遭逢暴雨肆虐，圖為建昌縣黑山科鄉災民在雨後泥濘中靠推土機疏散。連續幾天大雨已知造成葫蘆島市11死14失蹤。（美聯社）
黃邦平／核稿編輯
〔即時新聞／綜合報導〕中國遼寧省上週連續暴雨，葫蘆島市統計，已造成11死14失蹤，受災人口18萬8757人，災損達人民幣103億元（約新台幣460億元），中國政府已緊急撥交人民幣5000萬元（約新台幣2.23億元）救災。
遼寧省葫蘆島市19日起連續降下破紀錄豪雨，尤其當地建昌縣、綏中縣道路、電力、通信、房屋、農作物等受災嚴重。中國《中央電視台》指出，這次最大單日降雨量528毫米，打破遼寧省紀錄，葫蘆島自1951年有氣象紀錄以來史上最高降雨量、日雨量、時雨量都改寫，受災最嚴重的地區半天之內就下了一年的雨量。
請繼續往下閱讀...

官方初步統計，葫蘆島市8條國省道幹線、210條農村公路與187座橋梁受損或中斷；12萬8580戶用電受影響；1301處通訊光纜中斷。已知災情11人遇難、14人失聯，其中1人是投入救災的基層人員。
當地官員指出，葫蘆島市19日出現持續性強降雨，主要是受東北冷渦（冷心低壓）、副熱帶高壓及颱風「雲雀」的水氣輸送共同影響，雨量與強度之大，範圍廣、破壞力強，均屬歷史罕見。
《自由亞洲電台》指出，過去兩個月，中國各地暴雨襲擊，山崩、洪水等災情已知造成 150多人身亡。
中國遼寧省葫蘆島市上週暴雨肆虐，搜救人員在建昌縣黑山科鄉涉水疏散倖存災民。（美聯社）
中國遼寧省葫蘆島市暴雨洪水成災，圖為建昌縣黑山科鄉大貨車、農田作物被洪水沖倒。（美聯社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月25日
蘇丹暴雨後水壩坍塌 傳至少60死、百人失蹤,https://news.google.com/read/CBMiZkFVX3lxTFAyMHRDVVIzSnR4d3hfSk9nUjZnMFpiUmI3Vm10WXkyck1tMzZoZWloZThjRVE2T3dsbmstN1E3SkE1Z1NiTUdEYTdUOFZGY2V2VnBfcVpWUWN0SUJtU0lqQnVTNmxoUdIBa0FVX3lxTFByV1JwbkRmVGg5NWd1T1V0Q1JvN0cwWlVLdDYxdm9TX1ZsQTd6bmpvZFFtbHZuZXF5dHdGa3lSalVKS0htQlpjTmRiRGppZExWSWoyRzhmVm1fQ21lcGN2Rl9LSTJTaExMbDlJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


蘇丹紅海州暴雨導致阿爾巴特大壩坍塌，目前傳出已至少造成60人死亡、上百人失蹤。圖為被沖垮的大壩。（法新社）
黃其豪／核稿編輯
〔即時新聞／綜合報導〕非洲國家蘇丹紅海州遭受暴雨侵襲，導致阿爾巴特大壩（Arbaat dam）坍塌，目前傳出已至少造成60人死亡、上百人失蹤。
據《美聯社》報導，蘇丹衛生部官方聲明指出，在洪水淹沒房屋後釀成4人罹難，但當地官員認為至少有60人喪命，紅海州首席水資源官塔赫（Amr Eissa Taher）也透露損害十分嚴重。
請繼續往下閱讀...

蘇丹當地媒體引述空軍消息指稱，目前有100多人在洪水來襲後下落不明，許多民眾紛紛爬到山頂等高處。除了這次的災害之外，蘇丹過去2個月受季節性洪水影響，全國大片地區遭到淹沒，超過2萬3000棟房屋倒塌或受損，並且有130多人死亡。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月27日
日本千葉縣國道4車道坍方 疑暴雨所致,https://news.google.com/read/CBMiZkFVX3lxTFA0RWxoNE5jeXFTRnRzZ3pCYU9jQkRGUnRiRm9Zbmd1VlV3NmFCYXlVczNvNmx2OEszWmJjbzRjM1JWOHhmUTduYUhxWVI5V1E5VElzMnZad1RnSHpLNlphMWVHX01wQdIBa0FVX3lxTE45LWJZWXhpY1hkLXFqZjJJd3h2TFFkLWJ6eEl4dXhZbHlKQXBBME1SSjhUek03cXZGZnBSUVRydVcycEhmemUwREFFTHdyOUY1VEdFSkN6TDRsTG9kV2F3ODhQVzM0NkRXMFZF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


日本千葉縣今（4）日上午驚傳國道塌陷事故，車輛紛紛繞道而行，所幸無人傷亡。（擷取自@Gt8VUlzRG7buafO/X）
劉家凱／核稿編輯
〔即時新聞／綜合報導〕日本千葉縣今（4）日上午傳出，國道16號線突然出現路面大範圍塌陷，目前尚未傳出傷亡消息。當局現已封閉雙向道路，推測塌陷原因與近日暴雨有關。
根據《NHK》報導，日本國土交通省千葉國道事務所證實，當地時間4日上午9時許，千葉縣市原市國道16號線發生4條車道坍方事故，現已要求民眾避開此處繞道通行，展開道路拆除工程。由於事發地點位在工廠及倉庫林立地區，平時不少大卡車行經，所幸無人受傷。
請繼續往下閱讀...

千葉縣市原市昨（3）日下起傾盆大雨，每小時雨量高達85毫米，多處道路大淹水，甚至一度發布大雨警報及疏散指示。因此，國道事務所將與其他單位攜手調查，確認道路坍陷是否與暴雨有關。

【動画】国道16号が陥没、上り線に続き下り線も 千葉県市原市、大雨影響かhttps://t.co/RTg7YvR6Jq

国道16号で、道路が陥没していると、110番通報。けが人の情報は入っていない。この陥没の影響で、国道は上下線とも通行止め

市内では3日、大雨警報や避難指示が一時出て、道路が冠水した pic.twitter.com/AqhLFXcvZO


国道１６号の千葉県市原市五井金杉二丁目の車道（上下線）における道路の陥没について、舗装版の撤去を開始しております。 pic.twitter.com/7u3PCFYCT6

不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,18 天前
暴雨釀洪災 中西非與中歐均受創,https://news.google.com/read/CBMiWkFVX3lxTE12bGdyNUxWNlkyNVczaVZtejhtZ0IzZEtraUhSVVNxVHV1UlU1VHo2akdMVUl2cGNwSmlpNmtGenpjemJwNVNGbGxPcl9xanlqV3AtMjJBc3c1UdIBX0FVX3lxTFA1eVo3Y01GMGFXb3pnYVFGN0ZtUnJVVHlQQ09iNnJoQmFoeXRqZlgxUG5Bb2UzUXZSb2c4aHh1WXV5d252V1dNdzhOeDd1NHRLa0VoY1VWZEwyNVFwNGlz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"暴雨引發的洪患重創中非與西非，已造成1000多人喪生、數十萬間房屋被毀；與此同時，中歐也受暴雨引發的洪患侵襲，多瑙河水位暴漲，死亡人數也在攀升。
紐約時報指出，連日來暴雨引發的洪水摧毀西非和中非城鎮，造成1000多人死亡、數十萬房屋被摧毀。人道主義機構表示多達400萬人受洪災衝擊，近100萬人被迫逃離家園。
奈及利亞東北部城市邁杜古利（Maiduguri）13日到處是滿目瘡痍景象，不時能看到人和動物屍體飄過；倖存的人們被困在屋頂或學校，有人睡在高速公路。當地動物園80%的動物淹死，但洪水卻把園裡的鱷魚、毒蛇沖到社區。
世界氣象組織（WMO）指出，雖然非洲在全球溫室氣體排放所佔比例很小，卻承受異常沉重的氣候變遷衝擊，若須妥善因應，則撒哈拉以南非洲（sub-Saharan Africa）地區今後十年得每年投入300億到500億美元，相當於整個地區國民生產總值（GDP）的2到3%。
同樣遭受暴雨引發洪患衝擊的還有中歐地區。政治新聞網Politico.eu指出，名為熱那亞低壓（Genoa low）導致的暴雨從義大利飄移至中歐，傾盆大雨導致地區內河川暴漲氾濫，沖毀橋梁、淹沒城鎮。熱那亞低壓通常生成於義北城市熱那亞（Genoa）一帶，低壓系統在環境條件下增強為熱帶風暴。
一如中歐前次於1997所遇洪患，基於多瑙河（Danube）與摩拉瓦河（Morava）流向的因素，這次依然是捷克與奧地利北部的北奧地利邦（UpperAustria）首當其衝。
捷克、波蘭、羅馬尼亞15日合計至少8人死於洪災，多瑙河下游地區當局下令預警性撤離。",經濟日報,6 天前
全球多地水災 颱風魔羯襲緬甸74死、中東歐暴雨羅馬尼亞4死,https://news.google.com/read/CBMi-gJBVV95cUxPWVcyXzNlRjA4bE8wZjdZZzg1R1RtZFZfUVRMY3R0N2o0TUk2ZkQtdDQxcXp3cUlpNXdJU2lmLTVyVUhheGJuQ1prM1BTVlJkaldjVXhoT1BCdVBLdGpVZ3JteW5TZTRMVldlTU5EbFl5Q09pS3BSbmEtb3NhVXRYT0JjQ1VhcW5aS1pKWnIyVnktRVgwM2p0MTRFZkJwM3YwczU0ZXNmbEZMdlJYNlZUSGxNR0xWTG1scDJHOGlyNmNsOE5EN0l5TkFMYm9jeXEwQlcwNXZRZGZiYTE3dllzS3ZXc2tNMEo0cmllN1lYM1MweENHRjl3a0J5SmhYMEdya2Y1MldKZldTVFk4N0hjcm8zaU1pNDdoamdPZ0RJR3ZMaXlid1l5ZFdDYS1HamN5QnhCY3FiNGdScEpKTFZXOVV6bDFwVGdXWmxtdl9YVFpSOG9CZk1LUU9JZExuZksteUc5ZG14LXlNSF8wR3RIVTZpd3l3U2Z1bWc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"近日全球各地洪災嚴重，亞洲今年最強颱襲越南導致至少約200人死亡後，轉戰緬甸也已造成至少74人死亡，讓緬甸獨裁軍政府罕見向國際求援；中東歐地區因暴雨導致洪水，羅馬尼亞已知4人死亡，波蘭和捷克等國都緊急疏散河流已達危險水位地區的居民。
綜合路透社、美聯社與英國廣播公司（BBC）等報導，亞洲今年最強颱風魔羯在泰國、越南地區造成數百人死亡和失蹤後繼續發威；暴雨傾入緬甸，引發大規模洪水，截至13日晚間，緬甸官媒報告稱已知74死、89人失蹤，逾23萬人被迫離開家園。自由亞洲電台報導的死亡人數更高，稱已至少有160人死亡。
緬甸首都奈比多、大城曼德勒（Mandalay）、馬圭（Magway）、勃固（Bago）全是重災區，撣邦（Shan）東部和南部、孟邦（Mon）、克耶邦（Kayah）和克倫邦（Kayin）災情也都嚴重。據聯合國人道事務協調辦公室（OCHA），洪水從撣邦山區溪流沖下，因此災區主要在緬甸中部。
據緬甸國家電視台14日晚間報導，魔羯颱風在緬甸帶來的豪雨可能是60年來最強，已知24座橋梁、375座校舍、5座水壩、1座寺廟、4座寶塔、14個變電所、逾6.5萬幢房屋被洪水破壞，受損的寶塔位於蒲甘（Bagan），是聯合國教科文組織認證的世界遺產。
緬甸多地傳出土石流，但本就落後的基礎設施在洪災中嚴重受損，網路中斷，很難得知詳細災情。緬甸人口約5500萬，OCHA稱目前有1860萬人、即約三分之一需要人道援助，但緬甸軍政府的入境限制、以及當地安全風險，紅十字會等國際組織很難執行任務。
2021年2月，緬甸發生軍事政變後，國家一直處於動盪，軍政府強力鎮壓平民抗爭，但無法剿滅反抗組織；據聯合國難民署，截至9月初，緬甸境內有340萬人流離失所。國際抵制緬甸軍政府，緬甸軍頭敏昂萊（Min Aung Hlaing）也不屈服，不過，根據緬甸官媒，軍政府面對這次洪災，也已經請求外國援助。
中東歐：羅馬尼亞已4死，波蘭內政部長稱最糟的狀況還沒來
在中東歐，羅馬尼亞東部14日因暴雨而發生洪水，造成至少4人死亡、數百人受困，死者是3名老婦和1名男子。重災區在加拉提縣（Galati）和瓦斯盧伊縣（Vaslui），尤其是前者，另外6個縣也有災情，共約5000幢建物受損、2.5萬戶斷電；緊急單位發布的影片顯示，救難人員得使用小型救生艇載著老年人穿過泥流。
羅馬尼亞環境部長費凱特（Mircea Fechet）說，在一些重災區，每平方公尺降雨量超過160公升，非常罕見，「我們現在能努力做的就是盡可能挽救更多人命」。
中東歐的強降雨是因為義大利北部的低壓系統所導致，範圍包含捷克、斯洛伐克奧地利、波蘭、德國、匈牙利等。各國目前慎防災情惡化。
捷克目前已有1人墜河失蹤、一輛載有3人的汽車被河水捲走，北部和東北部已有5.1萬戶斷電，許多地區的河流水位已達到危險警戒，導致政府進行疏散；西南部的南波希米亞州有一座大壩14日潰堤，位於東南部的第二大城布爾諾（Brno）也開始撤離危險地區的居民，包含一家醫院裡的數百人。
捷克首都布拉格傍著伏爾塔瓦河（Vltava River），風景優美，但也暗藏危機。2002年大洪水席捲布拉格地鐵，數萬人必須避難，後來布拉格便投入大筆資金於防洪措施。
捷克14日晚間已對全國70多個地區發布最高級洪水警報，氣象單位預估15日單日降雨量就可能達到年平均值的三分之一，環境部呼籲風險地區民眾準備好撤離。捷克水文氣象研究所（Czech Hydrometeorological Institute）表示，可能會發生百年一見的大洪水。
波蘭西南部城鎮格武霍瓦濟（Glucholazy）已在堆沙袋防洪，居民亞庫比耶茨（Piotr Jakubiec）說，他已經準備好沙袋和抽水泵浦，做好完全準備，「但也無法預知會發生什麼事，這是我人生中第二次遇到這種狀況，對這裡的居民來說簡直是惡夢」。
波蘭南部大城克拉科夫（Krakow）也堆了沙袋，有些街道已開始淹水，積水還流進一間醫院的地下室。內政部長西莫尼亞克（Tomasz Siemoniak）說，最糟的狀況「尚未到來」。
奧地利14日下午宣布東北部24村為災區，開始進行疏散。大雨也導致多瑙河在奧地利首都維也納的河段水位急遽上升，奧地利1970-80年代興建的防洪渠道將要接受21世紀極端氣候的考驗。
更多太報報導
2024搞笑諾貝爾獎揭曉！肛門呼吸、鴿子導彈、死魚的游泳能力獲獎
留下230隻後代拯救種族不滅絕 企鵝「貪心先生」終於安息了
求生意志堅強！水牛逃過主人和警察追殺 眾居民籲「放過牠吧」",Yahoo奇摩新聞,7 天前
中國遼寧破紀錄暴雨 葫蘆島11死14失蹤,https://news.google.com/read/CBMiZkFVX3lxTE1ZcUJEWmk5SDhvaVNITE82M2lfZXZKdnE1SmFTbXF4VUkxTFFuT3FmR3NzdkNsd1BGbk5ka0pUVWtNZzZJbHF1ZWg1UndNZlVKZ2VEWTFMUEF1OHBLQ1lCNGxqOGcwUdIBa0FVX3lxTE9PcS1kdHFYYnNlSjA0d255S19UT2x6d1pzTUdqZjZHRnljYnV6T2dXNk9GNVBQcW1odGJIdVllbFhDYXFhZzBfbkxEOHowb1FjaG9nSWhaRmZPYkpyR0NLOGlaOHcxVVdGZ1JV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


中國遼寧省葫蘆島市上週遭逢暴雨肆虐，圖為建昌縣黑山科鄉災民在雨後泥濘中靠推土機疏散。連續幾天大雨已知造成葫蘆島市11死14失蹤。（美聯社）
黃邦平／核稿編輯
〔即時新聞／綜合報導〕中國遼寧省上週連續暴雨，葫蘆島市統計，已造成11死14失蹤，受災人口18萬8757人，災損達人民幣103億元（約新台幣460億元），中國政府已緊急撥交人民幣5000萬元（約新台幣2.23億元）救災。
遼寧省葫蘆島市19日起連續降下破紀錄豪雨，尤其當地建昌縣、綏中縣道路、電力、通信、房屋、農作物等受災嚴重。中國《中央電視台》指出，這次最大單日降雨量528毫米，打破遼寧省紀錄，葫蘆島自1951年有氣象紀錄以來史上最高降雨量、日雨量、時雨量都改寫，受災最嚴重的地區半天之內就下了一年的雨量。
請繼續往下閱讀...

官方初步統計，葫蘆島市8條國省道幹線、210條農村公路與187座橋梁受損或中斷；12萬8580戶用電受影響；1301處通訊光纜中斷。已知災情11人遇難、14人失聯，其中1人是投入救災的基層人員。
當地官員指出，葫蘆島市19日出現持續性強降雨，主要是受東北冷渦（冷心低壓）、副熱帶高壓及颱風「雲雀」的水氣輸送共同影響，雨量與強度之大，範圍廣、破壞力強，均屬歷史罕見。
《自由亞洲電台》指出，過去兩個月，中國各地暴雨襲擊，山崩、洪水等災情已知造成 150多人身亡。
中國遼寧省葫蘆島市上週暴雨肆虐，搜救人員在建昌縣黑山科鄉涉水疏散倖存災民。（美聯社）
中國遼寧省葫蘆島市暴雨洪水成災，圖為建昌縣黑山科鄉大貨車、農田作物被洪水沖倒。（美聯社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月25日
蘇丹暴雨後水壩坍塌 傳至少60死、百人失蹤,https://news.google.com/read/CBMiZkFVX3lxTFAyMHRDVVIzSnR4d3hfSk9nUjZnMFpiUmI3Vm10WXkyck1tMzZoZWloZThjRVE2T3dsbmstN1E3SkE1Z1NiTUdEYTdUOFZGY2V2VnBfcVpWUWN0SUJtU0lqQnVTNmxoUdIBa0FVX3lxTFByV1JwbkRmVGg5NWd1T1V0Q1JvN0cwWlVLdDYxdm9TX1ZsQTd6bmpvZFFtbHZuZXF5dHdGa3lSalVKS0htQlpjTmRiRGppZExWSWoyRzhmVm1fQ21lcGN2Rl9LSTJTaExMbDlJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


蘇丹紅海州暴雨導致阿爾巴特大壩坍塌，目前傳出已至少造成60人死亡、上百人失蹤。圖為被沖垮的大壩。（法新社）
黃其豪／核稿編輯
〔即時新聞／綜合報導〕非洲國家蘇丹紅海州遭受暴雨侵襲，導致阿爾巴特大壩（Arbaat dam）坍塌，目前傳出已至少造成60人死亡、上百人失蹤。
據《美聯社》報導，蘇丹衛生部官方聲明指出，在洪水淹沒房屋後釀成4人罹難，但當地官員認為至少有60人喪命，紅海州首席水資源官塔赫（Amr Eissa Taher）也透露損害十分嚴重。
請繼續往下閱讀...

蘇丹當地媒體引述空軍消息指稱，目前有100多人在洪水來襲後下落不明，許多民眾紛紛爬到山頂等高處。除了這次的災害之外，蘇丹過去2個月受季節性洪水影響，全國大片地區遭到淹沒，超過2萬3000棟房屋倒塌或受損，並且有130多人死亡。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月27日
日本千葉縣國道4車道坍方 疑暴雨所致,https://news.google.com/read/CBMiZkFVX3lxTFA0RWxoNE5jeXFTRnRzZ3pCYU9jQkRGUnRiRm9Zbmd1VlV3NmFCYXlVczNvNmx2OEszWmJjbzRjM1JWOHhmUTduYUhxWVI5V1E5VElzMnZad1RnSHpLNlphMWVHX01wQdIBa0FVX3lxTE45LWJZWXhpY1hkLXFqZjJJd3h2TFFkLWJ6eEl4dXhZbHlKQXBBME1SSjhUek03cXZGZnBSUVRydVcycEhmemUwREFFTHdyOUY1VEdFSkN6TDRsTG9kV2F3ODhQVzM0NkRXMFZF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


日本千葉縣今（4）日上午驚傳國道塌陷事故，車輛紛紛繞道而行，所幸無人傷亡。（擷取自@Gt8VUlzRG7buafO/X）
劉家凱／核稿編輯
〔即時新聞／綜合報導〕日本千葉縣今（4）日上午傳出，國道16號線突然出現路面大範圍塌陷，目前尚未傳出傷亡消息。當局現已封閉雙向道路，推測塌陷原因與近日暴雨有關。
根據《NHK》報導，日本國土交通省千葉國道事務所證實，當地時間4日上午9時許，千葉縣市原市國道16號線發生4條車道坍方事故，現已要求民眾避開此處繞道通行，展開道路拆除工程。由於事發地點位在工廠及倉庫林立地區，平時不少大卡車行經，所幸無人受傷。
請繼續往下閱讀...

千葉縣市原市昨（3）日下起傾盆大雨，每小時雨量高達85毫米，多處道路大淹水，甚至一度發布大雨警報及疏散指示。因此，國道事務所將與其他單位攜手調查，確認道路坍陷是否與暴雨有關。

【動画】国道16号が陥没、上り線に続き下り線も 千葉県市原市、大雨影響かhttps://t.co/RTg7YvR6Jq

国道16号で、道路が陥没していると、110番通報。けが人の情報は入っていない。この陥没の影響で、国道は上下線とも通行止め

市内では3日、大雨警報や避難指示が一時出て、道路が冠水した pic.twitter.com/AqhLFXcvZO


国道１６号の千葉県市原市五井金杉二丁目の車道（上下線）における道路の陥没について、舗装版の撤去を開始しております。 pic.twitter.com/7u3PCFYCT6

不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,18 天前
