代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
1442,富蘭克林坦伯頓日本基金,穩健型,美元,日本,國外,股票型,國外-股票型,無,14.82,0.24,0.66,-1.26,-0.14,135百萬(美元),2005/10/25,3.58,7.96,5.88,5.47,13.3,36.18,26.76,43.66
1443,富蘭克林坦伯頓美國機會基金－美元累積,穩健型,美元,美國,國外,股票型,國外-股票型,無,14.74,0.31,1.35,-2.67,-0.97,7342百萬(美元),2000/4/3,-2.48,-1.23,4.27,0.77,17.01,63.83,34.57,66.68
1444,富蘭克林坦伯頓金磚四國基金,積極型,美元,中國,國外,股票型,國外-股票型,無,18.05,0.44,0.95,0.67,0.15,369百萬(美元),2005/10/25,13.09,11.75,16.65,12.59,31.34,27.56,4.82,9.85
1445,富蘭克林坦伯頓新興國家固定收益－月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,8.94,0.15,1.14,0.26,0.01,1725百萬(美元),2009/8/14,2.89,2.41,-0.06,4.81,5.66,20.63,-1.07,-11.04
1446,富蘭克林坦伯頓東歐基金(美元),積極型,美元,東歐,國外,股票型,國外-股票型,無,16.28,0.18,0.49,-1.21,-0.21,110百萬(歐元),2005/10/25,5.66,13.85,1.72,11.34,10.55,61.77,-38.4,-43.76
1447,富蘭克林坦伯頓天然資源基金,積極型,美元,全球,國外,天然資源,國外-天然資源,無,20.44,0.11,0.84,-2.55,-0.22,229百萬(美元),2007/7/12,-3.33,-4.86,-0.59,4.47,7.12,7.54,24.37,62.24
1448,富蘭克林坦伯頓大中華基金,積極型,美元,大中華,國外,股票型,國外-股票型,無,26.43,0.35,0.75,1.64,0.37,279百萬(美元),1994/9/1,16.82,16.76,30.77,16.46,34.52,-3,-23.62,-25.91
1451,富蘭克林坦伯頓全球平衡基金Ａ美元累積,穩健型,美元,全球,國外,平衡型,國外-平衡型,無,9.66,0.28,0.83,-0.76,-0.3,464百萬(美元),2001/5/14,2.02,2.77,1.01,5.07,10.6,16.52,9.08,25.74
1455,富蘭克林坦伯頓生技領航基金,積極型,美元,全球,國外,生物科技,國外-生物科技,無,17.83,-0.07,0.98,-0.59,-0.24,1381百萬(美元),2000/4/3,1.72,-1.03,-9.99,2.6,-4.57,22.74,26.99,9.91
1456,富蘭克林坦伯頓穩定月收益－月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國外,平衡型,國外-平衡型,月配,5.9,0.4,0.46,-0.1,-0.01,7469百萬(美元),1999/7/1,1.22,0.96,1.77,2.88,9.7,14.29,9.93,24.72
1457,富蘭克林坦伯頓穩定月收益－月配權(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國外,平衡型,國外-平衡型,月配,5.9,0.4,0.46,-0.1,-0.01,7469百萬(美元),1999/7/1,1.22,0.96,1.77,2.88,9.7,14.29,9.93,24.72
1458,富蘭克林坦伯頓亞洲小型企業基金,穩健型,美元,亞洲,國外,中小型股,國外-中小型股,無,11.01,0.14,0.52,-0.73,-0.46,1124百萬(美元),2008/10/14,-0.89,-1.5,-6.4,-3.06,6.21,16.98,3.91,43.62
1459,坦伯頓全球債券總報酬基金Ａ股－美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,固定收益,國外-固定收益,無,11.64,-0.01,2,0.21,0.05,1712百萬(美元),2003/8/29,3,0.92,-4.82,4.65,0.04,4.06,-10.25,-18.87
1460,坦伯頓全球債券總報酬基金Ａ股－美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,固定收益,國外-固定收益,月配,11.68,-0.01,2.01,0.27,0.02,1712百萬(美元),2003/8/29,2.98,0.92,-4.8,4.62,0.1,4.08,-10.18,-18.91
1461,坦伯頓全球債券總報酬基金Ａ股－歐元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,全球,國外,固定收益,國外-固定收益,月配,6.56,0.11,0.93,0.58,0.04,1712百萬(美元),2005/12/29,2.63,1.03,1.38,3.55,3.46,5.87,-2.99,-15.91
1462,坦伯頓全球債券總報酬基金Ａ－澳幣月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,全球,國外,固定收益,國外-固定收益,月配,11.67,-0.04,1.99,0.22,0.01,1712百萬(美元),2010/9/30,3.05,0.85,-5.33,4.6,-1.16,0.64,-15.78,-25.03
1463,富蘭克林坦伯頓公司債基金Ａ股－美元累積(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券),穩健型,美元,美國,國外,非投資等級債券,國外-非投資等級債券,無,3.47,0.62,0.91,-0.04,-0.01,1103百萬(美元),2001/7/2,0.42,1.63,2.82,1.46,8.97,21.42,14.56,19.83
1464,富蘭克林坦伯頓歐洲非投資等級債基金歐年現(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,非投資等級債券,國外-非投資等級債券,年配,1.7,1.05,0.26,0.19,0.01,267百萬(歐元),2000/4/17,1.32,2.09,4.06,1.32,7.63,16.78,11.59,9.78
1465,富蘭克林坦伯頓歐洲非投資等級債券基金歐累,穩健型,歐元,歐洲,國外,非投資等級債券,國外-非投資等級債券,無,1.57,1.13,0.23,0.05,0.01,267百萬(歐元),2001/7/2,1.23,2.12,3.93,1.28,7.56,16.66,11.5,9.74
1466,富蘭克林坦伯頓歐洲非投資等級債基金美月現(本基金之配息來源可能為本金),穩健型,美元,歐洲,國外,非投資等級債券,國外-非投資等級債券,月配,7.51,0.12,1.42,-0.29,-0.02,267百萬(歐元),2010/3/31,1.67,1.92,-2.47,2.33,4.03,14.69,3.12,5.83
1467,富蘭克林坦伯頓新興國家小型企業－美元累積,積極型,美元,新興市場,國外,中小型股,國外-中小型股,無,8.81,0.11,0.44,-0.59,-0.09,328百萬(美元),2007/10/18,0.47,-0.13,-4.07,-0.85,4.14,15.36,3.42,37.52
1468,富蘭克林坦伯頓新興國家小型企業－歐元累積,積極型,歐元,新興市場,國外,中小型股,國外-中小型股,無,4.85,0.38,0.22,-0.19,-0.04,328百萬(美元),2007/10/18,0.05,0.1,2.28,-1.81,7.73,17.42,11.82,42.57
1469,富蘭克林坦伯頓全球房地產基金－美元累積,穩健型,美元,全球,國外,房地產,國外-房地產,無,15.11,0.08,1.02,-0.98,-0.13,89百萬(美元),2005/12/29,0.69,-3.02,-3.51,2.25,4.44,4.52,-10.52,-9.85
1470,富蘭克林坦伯頓全球房地產基金歐元避險累積,穩健型,歐元,全球,國外,房地產,國外-房地產,無,15.18,0.04,1.03,-0.98,-0.14,89百萬(美元),2010/8/20,0.57,-3.48,-4.46,1.95,2.39,0.28,-18.35,-18.82
1472,富蘭克林坦伯頓美國機會基金－歐元累積,穩健型,歐元,美國,國外,股票型,國外-股票型,無,14.5,0.38,1.16,-2.28,-0.79,7342百萬(美元),2006/9/1,-2.87,-1.05,11.15,-0.21,20.99,66.75,45.56,72.87
1473,富蘭克林坦伯頓互利歐洲－累積(美元避險),穩健型,美元,歐洲,國外,股票型,國外-股票型,無,11.82,0.48,0.64,-0.32,-0.06,535百萬(歐元),2014/9/15,6.5,11.46,11.53,11.46,22.27,32.41,41.01,51.79
1474,富蘭克林坦伯頓穩定月收益－月配(澳幣避險(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,美國,國外,平衡型,國外-平衡型,月配,5.89,0.35,0.46,-0.14,-0.01,7469百萬(美元),2015/1/9,1.12,0.82,1.33,2.83,8.58,11.38,4.56,14.09
1475,富坦歐洲非投資等級債券基金美元月現配避險(本基金之配息來源可能為本金),穩健型,美元,歐洲,國外,非投資等級債券,國外-非投資等級債券,月配,1.7,1.31,0.26,0.1,0.01,267百萬(歐元),2015/1/9,1.43,2.52,4.76,1.54,9.28,20.54,18.91,18.45
1476,富蘭克林坦伯頓新興國家固定收益澳幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,國外-債券型,月配,8.83,0.11,1.15,0,0,1725百萬(美元),2013/2/26,2.77,2.11,-0.59,4.63,4.25,16.87,-7.34,-18.25
1477,富蘭克林坦伯頓新興國家固定收益南幣避月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,新興市場,國外,債券型,國外-債券型,月配,8.82,0.23,1.15,0.05,0.03,1725百萬(美元),2017/6/23,2.95,2.95,1.32,5.05,8.25,26.57,4.71,1.59
1479,富蘭克林坦伯頓多空策略基金－美元累積,穩健型,美元,全球,國外,平衡型,國外-平衡型,無,3.83,0.59,0.3,-0.23,-0.03,642百萬(美元),2014/9/15,0.08,2.12,4.42,1.09,9.34,12.66,8.61,11.6
1481,富蘭克林坦伯頓精選收益基金Ａ－美元累積(本基金有相當比重投資於非投資等級之高風險債券),保守型,美元,全球,國外,債券型,國外-債券型,無,3.77,0.35,0.72,0.12,0.02,762百萬(美元),2007/7/12,0.59,1.06,0.89,1.06,5.82,12.06,3.57,3.51
1482,富蘭克林坦伯頓精選收益基金Ａ－美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,美元,全球,國外,債券型,國外-債券型,月配,3.81,0.35,0.73,0.12,0.01,762百萬(美元),2007/7/12,0.59,1.14,0.95,1.07,5.86,12.13,3.53,3.55
1483,富蘭克林坦伯頓精選收益基金Ａ－歐元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,歐元,全球,國外,債券型,國外-債券型,月配,3.89,0.58,-0.35,0.52,0.04,762百萬(美元),2007/7/12,0.2,1.25,7.47,0.02,9.33,13.97,11.97,7.3
1484,富蘭克林坦伯頓精選收益基金Ａ－澳避月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,澳幣,全球,國外,債券型,國外-債券型,月配,3.82,0.27,0.72,0.14,0.01,762百萬(美元),2013/2/26,0.61,0.98,0.58,1.12,4.87,9.42,-0.66,-4.19
1485,富蘭克林坦伯頓全球股票收益基金Ａ穩美月現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,股票型,國外-股票型,月配,10.4,0.46,0.94,-1.24,-0.14,62百萬(美元),2005/5/27,1.99,4.69,5.73,5.83,18.85,30.34,19.6,37.4
1486,富蘭克林坦伯頓新興市場月收益基金Ａ美累,穩健型,美元,新興市場,國外,平衡型,國外-平衡型,無,10.7,0.28,0.71,-0.09,-0.01,96百萬(美元),2011/4/29,5.21,4.71,3.83,7.34,11.77,21.95,4.22,6.52
1487,富蘭克林坦伯頓新興市場月收益基金Ａ美月現(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,平衡型,國外-平衡型,月配,10.69,0.28,0.71,0,0,96百萬(美元),2018/4/6,5.36,4.77,3.87,7.34,11.78,22.06,4.18,6.49
1488,富蘭克林坦伯頓全球非投資等級債基金Ａ美累,穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,無,5.37,0.28,1.26,0.06,0.01,86百萬(美元),2007/9/27,1.25,1.61,1.31,2.66,6.45,19.54,6.31,6.45
1489,富蘭克林坦伯頓全球非投資等級債基金Ａ美現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,5.27,0.28,1.22,0,0,86百萬(美元),2007/9/27,1.23,1.61,1.27,2.55,6.32,19.46,6.15,6.37
1491,富蘭克林坦伯頓互利全球領航基金Ａ－美元,穩健型,美元,全球,國外,股票型,國外-股票型,無,11.16,0.21,0.84,-0.7,-0.2,440百萬(美元),2005/10/25,3.86,4.21,2.73,7.87,8.99,21.25,19.56,37.02
1492,富蘭克林坦伯頓吉富世界基金Ａ－美元(本基金非屬環境、社會及治理相關主題基金),穩健型,美元,全球,國外,股票型,國外-股票型,無,14.56,0.08,1.23,-1.43,-0.43,203百萬(美元),2008/10/14,-2.3,-2.33,-1.39,1.64,4.24,14.52,5.54,15.28
1493,富蘭克林坦伯頓歐洲股票收益基金Ａ－歐元(本基金非屬環境、社會及治理相關主題基金),穩健型,歐元,歐洲,國外,股票型,國外-股票型,無,12.12,0.27,0.24,-0.05,-0.01,19百萬(歐元),2011/7/29,3.14,6.64,5.3,7.34,12.57,19.47,22.88,13.66
1494,富蘭克林坦伯頓全球氣候變遷基金Ａ－美避險,穩健型,美元,全球,國外,股票型,國外-股票型,無,13.23,0.07,0.95,-0.97,-0.18,1110百萬(歐元),2018/4/6,-0.43,-2.18,-0.05,2.63,3.85,8.13,19.22,50.74
1495,富蘭克林坦伯頓歐洲中小型企業基金Ａ美避險,穩健型,美元,歐洲,國外,股票型,國外-股票型,無,11.74,0.2,0.68,-0.24,-0.03,87百萬(歐元),2018/8/30,3.51,4.3,0,3.69,9.07,19.38,28.56,19.73
1496,富蘭克林坦伯頓新興市場月收益基金Ａ美穩現(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,平衡型,國外-平衡型,月配,10.8,0.28,0.71,-0.12,-0.01,96百萬(美元),2020/11/12,5.31,4.73,3.8,7.37,11.81,22.09,4.19,
1497,富蘭克林坦伯頓波灣富裕債券基金Ａ美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,阿拉伯聯合大公國,國外,債券型,國外-債券型,無,6.84,0.2,1.32,0.17,0.03,244百萬(美元),2013/8/30,1.35,0.58,-1.6,1.24,5.78,8.72,1.71,12.26
1498,富蘭克林坦伯頓波灣富裕債券基金Ａ美元月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,阿拉伯聯合大公國,國外,債券型,國外-債券型,月配,6.84,0.2,1.32,0.3,0.03,244百萬(美元),2013/8/30,1.37,0.62,-1.55,1.26,5.83,8.76,1.76,12.3
1499,富蘭克林坦伯頓穩定月收益基金－美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,美國,國外,平衡型,國外-平衡型,無,5.85,0.4,0.46,-0.07,-0.01,7469百萬(美元),2015/1/9,1.18,0.9,1.82,2.82,9.63,14.27,9.96,24.74
14A2,富蘭克林坦伯頓全球美元短期票券基金Ａ美累,保守型,美元,全球,國外,貨幣型,國外-貨幣型,無,0.18,7.67,,0,0,1476百萬(美元),2001/5/14,0.37,1.04,2.26,0.59,4.96,10.16,12.35,12.35
14A3,富蘭克林坦伯頓精選收益基金Ａ美元穩月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,美元,全球,國外,債券型,國外-債券型,月配,3.7,0.35,0.7,0.1,0.01,762百萬(美元),2023/8/18,0.53,0.98,0.88,1.06,5.77,,,
14A4,富蘭克林坦伯頓精選收益基金Ａ美元穩月配權(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),保守型,美元,全球,國外,債券型,國外-債券型,月配,3.7,0.35,0.7,0.1,0.01,762百萬(美元),2023/8/18,0.53,0.98,0.88,1.06,5.77,,,
14A5,富蘭克林坦伯頓日本基金Ａ日幣累積,穩健型,日圓,日本,國外,股票型,國外-股票型,無,15.4,0.22,0.91,-1.54,-25.69,135百萬(美元),2000/9/1,-0.65,4.21,8.9,0.36,12.54,50.69,65.17,92.37
14A6,富蘭克林坦伯頓穩定月收益Ａ日幣避險月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,日圓,美國,國外,平衡型,國外-平衡型,月配,5.82,0.14,0.47,-0.1,-0.94,7469百萬(美元),2023/8/18,0.72,-0.39,-0.8,2.15,3.84,,,
14A7,富蘭克林坦伯頓穩定月收益Ａ日幣避險月配權(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,日圓,美國,國外,平衡型,國外-平衡型,月配,5.82,0.14,0.47,-0.1,-0.94,7469百萬(美元),2023/8/18,0.72,-0.39,-0.8,2.15,3.84,,,
14A8,富蘭克林坦伯頓公司債基金日幣避險Ａ月配現(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),穩健型,日圓,美國,國外,非投資等級債券,國外-非投資等級債券,月配,,,,-0.04,-0.41,1103百萬(美元),2024/6/21,-0.01,0.4,0.34,0.83,,,,
14A9,富蘭克林坦伯頓公司債基金日幣避險Ａ月配權(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券),穩健型,日圓,美國,國外,非投資等級債券,國外-非投資等級債券,月配,,,,-0.04,-0.41,1103百萬(美元),2024/6/21,-0.01,0.4,0.34,0.83,,,,
14B0,富蘭克林坦伯頓公司債基金美元Ａ穩定月配現(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),穩健型,美元,美國,國外,非投資等級債券,國外-非投資等級債券,月配,,,,-0.1,-0.01,1103百萬(美元),2024/7/19,0.39,1.49,2.72,1.4,,,,
14B1,富蘭克林坦伯頓公司債基金美元Ａ穩定月配權(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券),穩健型,美元,美國,國外,非投資等級債券,國外-非投資等級債券,月配,,,,-0.1,-0.01,1103百萬(美元),2024/7/19,0.39,1.49,2.72,1.4,,,,
14B2,富蘭克林坦伯頓穩定月收益南非幣避險月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,美國,國外,平衡型,國外-平衡型,月配,5.81,0.55,0.46,-0.08,-0.09,7469百萬(美元),2017/6/23,1.5,1.67,3.33,3.28,12.76,20.88,18.7,44.52
14B3,富蘭克林坦伯頓穩定月收益南非幣避險月配權(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,美國,國外,平衡型,國外-平衡型,月配,5.81,0.55,0.46,-0.08,-0.09,7469百萬(美元),2017/6/23,1.5,1.67,3.33,3.28,12.76,20.88,18.7,44.52
14B4,富蘭克林坦伯頓日本基金Ａ美元避險累積,穩健型,美元,日本,國外,股票型,國外-股票型,無,15.65,0.29,0.91,-1.53,-0.33,135百萬(美元),2015/11/13,-0.14,5.4,11.25,1.09,17.07,64.81,85.68,116.5
1626,景順泛歐洲基金Ａ(美元對沖)股美元,穩健型,美元,歐洲,國外,股票型,國外-股票型,無,12.9,0.2,0.77,0.22,0.04,927百萬(歐元),2014/7/23,6.24,9.17,6.6,9.43,9.62,16.79,30.22,46.91
1701,聯博國際科技基金,積極型,美元,全球,國外,資訊科技股,國外-資訊科技股,無,20.93,0.35,1.05,-2.95,-28.39,"1,552百萬(美元)",1995/10/2,-2.64,2.24,9.94,3.64,27.25,81.51,44.95,112.42
1702,聯博美國成長基金,穩健型,美元,美國,國外,股票型,國外-股票型,無,15.44,0.3,1.38,-2.07,-4.79,"8,003百萬(美元)",1997/1/6,-2.36,1.73,6.67,1.39,17.63,59.77,39.81,90.51
1703,聯博新興市場成長基金(停止申購),積極型,美元,新興市場,國外,股票型,國外-股票型,無,14.76,0.21,0.85,-0.82,-0.39,514百萬(美元),1992/10/30,1.66,3.75,1.2,3.5,11.49,11.56,-5.65,5.37
1704,聯博印度成長基金ＡＸ(停止申購),積極型,美元,印度,國外,股票型,國外-股票型,無,13.91,-0.04,1.14,-0.93,-1.9,137百萬(美元),1993/12/10,-3.25,-7.98,-13.51,-9.96,-1.45,22.59,9.33,31.8
1705,聯博美國收益基金(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國外,債券型,國外-債券型,無,4.92,0.29,0.95,0.38,0.12,"26,805百萬(美元)",1998/10/26,1.21,1.69,0.38,1.66,6.19,12.25,1.75,0.47
1706,聯博國際醫療基金,穩健型,美元,全球,國外,健康護理股,國外-健康護理股,無,13.73,-0.06,0.96,-0.23,-1.32,"3,422百萬(美元)",1995/7/5,2.68,0.35,-9.51,5.39,-2.42,13,13.54,43.92
1711,聯博美國收益ＡＴ股－配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國外,債券型,國外-債券型,月配,4.98,0.28,0.96,0.47,0.03,"26,805百萬(美元)",2002/9/16,1.14,1.71,0.44,1.62,6.16,12.22,1.74,0.56
1712,聯博全球非投資等級債券基金ＡＴ現(本基金之配息來源可能為本金)(停止申購,穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.69,0.55,0.96,0,0,"16,269百萬(美元)",2002/9/26,0.6,1.49,2.99,1.56,8.51,20,12.11,11.31
1713,聯博全球非投資等級債券基金Ａ２股(停止申購),穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,無,3.55,0.59,0.92,0.05,0.01,"16,269百萬(美元)",2002/3/14,0.86,1.57,3.14,1.63,8.78,20.09,12.04,11.44
1715,聯博歐洲收益基金－配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,歐洲,國外,債券型,國外-債券型,月配,2.44,0.51,0.29,0.34,0.02,"1,360百萬(歐元)",2003/10/9,1.01,1.01,2.03,0.67,5.66,13.58,3.47,2.5
1716,聯博歐洲收益基金Ａ２股(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,歐洲,國外,債券型,國外-債券型,無,2.31,0.54,0.3,0.32,0.07,"1,360百萬(歐元)",1999/2/26,0.97,1.01,2.05,0.69,5.64,13.57,3.49,2.57
1717,聯博歐洲股票基金,穩健型,歐元,歐洲,國外,股票型,國外-股票型,無,9.71,0.28,0.61,0.09,0.02,379百萬(歐元),2001/5/29,5.33,8.64,6.18,8.43,10.83,12.27,16.27,21.54
1718,聯博全球價值型基金,穩健型,美元,全球,國外,股票型,國外-股票型,無,10.64,0.4,0.91,-1.78,-0.45,461百萬(美元),2001/4/24,1.27,2.1,5.48,5.44,16.37,27.43,17.03,38.29
1727,聯博短期債券ＡＴ美元配現(本基金之配息來源可能為本金),保守型,美元,全球,國外,債券型,國外-債券型,月配,1.16,0.73,0.21,0.14,0.01,411百萬(美元),2002/9/26,0.41,1.05,1.51,0.55,4.19,8.51,6.13,4.75
1729,聯博印度成長基金Ａ－美元,積極型,美元,印度,國外,股票型,國外-股票型,無,13.91,-0.04,1.14,-0.93,-2.1,137百萬(美元),2009/6/15,-3.27,-8.03,-13.6,-9.98,-1.65,22.1,8.67,30.47
1730,聯博新興市場債券基金Ａ２－美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,無,5.38,0.57,0.9,0.52,0.18,414百萬(美元),2006/3/23,1.75,2.59,3.66,2.84,12.25,23.83,5.23,0.58
1731,聯博新興市場債券基金ＡＴ－美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,5.39,0.56,0.9,0.53,0.06,414百萬(美元),2006/3/23,1.77,2.63,3.66,2.87,12.25,23.81,5.26,0.59
1732,聯博全球非投資等債基金ＡＴ股歐元避險月配(本基金之配息來源可能為本金)(停止申購,穩健型,歐元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.51,0.46,0.9,0.09,0.01,"16,269百萬(美元)",2009/12/15,0.77,1.19,2.29,1.44,6.96,15.74,4.64,0.93
1733,聯博全球非投資等級債券基金Ａ２股歐元避險(停止申購),穩健型,歐元,全球,國外,非投資等級債券,國外-非投資等級債券,無,3.46,0.46,0.9,0.08,0.02,"16,269百萬(美元)",2009/12/15,0.69,1.13,2.29,1.38,6.93,15.7,4.65,0.97
1735,聯博新興市場債券基金ＡＴ股澳幣避險－月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,國外-債券型,月配,5.32,0.52,0.88,0.52,0.05,414百萬(美元),2010/6/30,1.66,2.45,3.27,2.72,11.18,20.51,0.2,-7.92
1736,聯博美國收益基金ＡＴ股澳幣避險－月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,美國,國外,債券型,國外-債券型,月配,4.98,0.23,0.96,0.29,0.03,"26,805百萬(美元)",2010/7/30,1.09,1.51,0.05,1.58,5.16,9.3,-2.68,-6.16
1737,聯博永續主題基金Ａ股美元,穩健型,美元,全球,國外,股票型,國外-股票型,無,14.49,0.08,1.33,-1.92,-0.82,"2,267百萬(美元)",1996/8/1,-3.18,-3.11,-4.7,0.58,4.24,16.06,2.75,38.76
1738,聯博全球非投資等級債券ＡＴ股澳幣避險月現(本基金之配息來源可能為本金)(停止申購,穩健型,澳幣,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.55,0.52,0.91,0.1,0.01,"16,269百萬(美元)",2010/6/8,0.89,1.58,2.88,1.68,7.87,17.16,7.14,2.83
1739,聯博亞洲股票基金Ａ股美元(本基金之配息來源可能為本金),積極型,美元,亞洲,國外,股票型,國外-股票型,無,16.09,0.2,1,1.15,0.29,296百萬(美元),2009/11/30,4.5,3.15,-1.46,5.4,11.86,13.6,-6.03,16.02
1740,聯博亞洲股票基金ＡＤ股美元－月配現(本基金之配息來源可能為本金),積極型,美元,亞洲,國外,股票型,國外-股票型,月配,16.08,0.2,1,1.11,0.16,296百萬(美元),2009/11/30,4.47,3.15,-1.45,5.45,11.85,13.6,-6.06,16.03
1741,聯博亞洲股票基金Ａ股澳幣避險(本基金之配息來源可能為本金),積極型,澳幣,亞洲,國外,股票型,國外-股票型,無,16.09,0.17,1,1.14,0.27,296百萬(美元),2010/6/30,4.45,2.97,-2.16,5.32,10.16,9.71,-11.91,3.68
1742,聯博亞洲股票基金ＡＤ股澳幣避險－月配現(本基金之配息來源可能為本金),積極型,澳幣,亞洲,國外,股票型,國外-股票型,月配,16.17,0.17,1.01,1.17,0.14,296百萬(美元),2010/6/30,4.48,2.96,-2.2,5.29,10.12,9.67,-11.94,3.59
1743,聯博美國收益基金Ａ２股歐元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(停止申購,穩健型,歐元,美國,國外,債券型,國外-債券型,無,3.21,0.74,-0.11,0.76,0.23,"26,805百萬(美元)",2001/6/1,0.79,1.87,6.98,0.63,9.8,14.24,10.16,4.17
1744,聯博美國收益ＡＴ股歐元－月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,美國,國外,債券型,國外-債券型,月配,3.34,0.71,-0.1,0.8,0.05,"26,805百萬(美元)",2007/10/1,0.76,1.82,6.97,0.6,9.76,14.31,10.23,4.22
1745,聯博美國收益基金ＡＴ股歐元避險－月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,美國,國外,債券型,國外-債券型,月配,4.94,0.19,0.95,0.38,0.04,"26,805百萬(美元)",2010/10/6,1.08,1.3,-0.45,1.37,4.38,7.93,-5.08,-8.91
1746,聯博全球不動產證券基金Ａ股美元,穩健型,美元,全球,國外,REIT,國外-REIT,季配,15.39,0.14,1.04,-0.95,-0.26,28百萬(美元),1997/2/28,0.96,-2.58,-1.66,2.72,7.72,7.76,-8.84,-7.07
1747,聯博全球不動產證券基金Ａ股歐元,穩健型,歐元,全球,國外,REIT,國外-REIT,無,11.34,0.26,0.71,-0.57,-0.15,28百萬(美元),2004/7/1,0.54,-2.44,4.83,1.68,11.34,9.65,-1.33,-3.63
1748,聯博全球非投資等債基金ＡＡ－美元穩定月配(本基金之配息來源可能為本金)(停止申購,穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.51,0.6,0.91,0.13,0.01,"16,269百萬(美元)",2014/1/9,0.86,1.58,3.16,1.62,8.8,20.1,12.04,11.53
